,GeneralRanking,Surname First name Club / Team,Cat.,Class.Cat.,Time,Difference/ 1st,Nationality
1487,1488,431  - GOSS Pete STUBBINGTON GREEN RUNNERS,V2H,203,45:08:21,24:24:05,GB
1488,1489,2565  - MEADOWS Samuel,V1H,666,45:08:34,24:24:18,GB
1489,1490,2848  - TANG Simon,SEH,472,45:09:07,24:24:51,HK
1490,1491,2862  - BODI GARCIA Rafael LA FOIA.COM-ONIL,V1H,667,45:09:29,24:25:13,ES
1491,1492,2143  - ADRIANSSENS Serge BORN TO RUN,V3H,20,45:10:34,24:26:18,BE
1492,1493,1549  - FILLAUDEAU Olivier AS CHU NANTES,V1H,668,45:10:43,24:26:27,FR
1493,1494,2381  - ZHAO Shougang 路上越野,V1H,669,45:10:44,24:26:28,CN
1494,1495,2244  - MORELLE Pierre RCB,V1H,670,45:10:51,24:26:35,BE
1495,1496,2486  - GANDON Benoit 1000 PATTE VICQUOIS,V1H,671,45:10:58,24:26:42,FR
1496,1497,1804  - KONOSHITA Mitsuji,V2H,204,45:11:57,24:27:41,CY
1497,1498,455  - JUN Yang,SEF,58,45:12:30,24:28:14,CN
1498,1499,1406  - RAMOIN Gregory,SEH,473,45:12:32,24:28:16,FR
1499,1500,1937  - MURMANN Oliver TRAIL STARTERS,SEH,474,45:12:33,24:28:17,DE
1500,1501,1047  - BRUN Patrice ATHLETIC CLUB MONPELLIER,V2H,205,45:12:58,24:28:42,FR
1501,1502,2041  - LEMS Hans N.A.,V2H,206,45:13:08,24:28:52,NL
1502,1503,336  - BAI Michel,V1H,672,45:13:29,24:29:13,FR
1503,1504,1712  - CALERO SANCHEZ Eusebio,V1H,673,45:13:53,24:29:37,ES
1504,1505,1887  - PUJANA ITURBE Ibon MIRUGAIN,V1H,674,45:13:54,24:29:38,ES
1505,1506,1594  - DOSSOT Jean-Marc ERRANCE REIMS EUROPE CLUB,V2H,207,45:14:11,24:29:55,FR
1506,1507,1344  - BASTIN Robert LES BOITHEUX,V1H,675,45:14:20,24:30:04,BE
1507,1508,761  - MALBOS Véronique CAF IDF,V2F,14,45:15:34,24:31:18,FR
1508,1509,2629  - PINSUVANA Kanin,V1H,676,45:16:33,24:32:17,TH
1509,1510,2741  - WALCZUK Pawel WKW,SEH,475,45:16:52,24:32:36,PL
1510,1511,328  - PATRICIA Shindy COMPRESSPORT INDONESIA,SEF,59,45:16:55,24:32:39,ID
1511,1512,918  - SEKELJ Jelena SRD315SJEVEROZAPAD,SEF,60,45:18:32,24:34:16,HR
1512,1513,2530  - ERDEC Mario SRD315SJEVEROZAPAD,SEH,476,45:18:35,24:34:19,HR
1513,1514,2435  - DABIRE Sié ASPTT TOURS,V2H,208,45:19:16,24:35:00,FR
1514,1515,1515  - SUNDQVIST Joel,V1H,677,45:19:17,24:35:01,US
1515,1516,2475  - ZWEGLINSKI Andrzej,V1H,678,45:19:39,24:35:23,PL
1516,1517,2543  - FUJIWARA Kazukiyo TEAM★AKINOMICHI,V2H,209,45:19:42,24:35:26,JP
1517,1518,1441  - PALMIERI Diego SPIRITO TRAIL,SEH,477,45:19:52,24:35:36,IT
1518,1519,2669  - PÉRÉ Vincent,V2H,210,45:19:54,24:35:38,FR
1519,1520,344  - RECH Arnaud,V1H,679,45:20:29,24:36:13,FR
1520,1521,2178  - SILVESTRE Gérald,V1H,680,45:20:30,24:36:14,FR
1521,1522,2594  - CHAVANNE Dominique EASC,V2H,211,45:20:51,24:36:35,FR
1522,1523,2220  - PAREDES HERNANDEZ Alan Christian PANGEA,SEH,478,45:20:54,24:36:38,MX
1523,1524,2314  - CLÉMOT Christophe,V1H,681,45:21:03,24:36:47,FR
1524,1525,2651  - BOULANT Olivier,V1H,682,45:21:11,24:36:55,FR
1525,1526,1996  - KAELL Romain,V1H,683,45:21:32,24:37:16,LU
1526,1527,1655  - CAMPBELL Martin,V1H,684,45:21:36,24:37:20,GB
1527,1528,2294  - WATTS Andy CHESHIRE HILL RACERS,V3H,21,45:21:45,24:37:29,GB
1528,1529,2343  - MOYAR SANCHEZ Joaquin,SEH,479,45:22:08,24:37:52,ES
1529,1530,1365  - DE VRIES Elisabeth,V1F,58,45:22:27,24:38:11,NL
1530,1531,1830  - CASAJUS Luis Agustin,SEH,480,45:22:33,24:38:17,AR
1531,1532,2108  - BIZOUARD Mathias AS Lilly,V2H,212,45:22:34,24:38:18,FR
1532,1533,1466  - DAMIANI Francesco MARATONETI CITTADELLESI,SEH,481,45:22:39,24:38:23,IT
1533,1534,2283  - FLINKMAN Pasi HTRC / BLISTER BROTHERS,V1H,685,45:22:49,24:38:33,FI
1534,1535,1220  - BIELAK Ivani Salomon Brasil / Tribo do Esporte,V1F,59,45:22:52,24:38:36,BR
1535,1536,2446  - ARNAUD François,SEH,482,45:23:00,24:38:44,FR
1536,1537,1660  - DA SILVA Sergei,V2H,213,45:23:03,24:38:47,BR
1537,1538,2280  - YAMANAKA Orlando UPFIT,V2H,214,45:23:04,24:38:48,BR
1538,1539,1745  - WANG Chuan,V1H,686,45:23:10,24:38:54,CN
1539,1540,1402  - BATTSON Elaine,V2F,15,45:23:14,24:38:58,GB
1540,1541,1733  - STAHALA Martin ALPENRUNNERS,V1H,687,45:23:20,24:39:04,DE
1541,1542,2818  - CHEUNG Chun Hoo Anson,SEH,483,45:23:24,24:39:08,HK
1542,1543,1452  - FOSSIER Marie-Pierre ASLS SERMAISE,V1F,60,45:23:31,24:39:15,FR
1543,1544,2304  - MORIMOTO Kazuki BEAMS,SEH,484,45:23:36,24:39:20,JP
1544,1545,2529  - FOSSIER Pascal ASLS SERMAISE,V2H,215,45:23:37,24:39:21,FR
1545,1546,2498  - BILLAT Bernard ASLS,V2H,216,45:23:38,24:39:22,FR
1546,1547,347  - LI Tiejun COLUMBIA,V1H,688,45:23:42,24:39:26,CN
1547,1548,440  - DEVY François,V2H,217,45:23:44,24:39:28,FR
1548,1549,1774  - WALLWORK Warren,SEH,485,45:23:47,24:39:31,GB
1549,1549,2703  - DUPONT Franck,V1H,689,45:23:47,24:39:31,FR
1550,1551,2293  - SEDILOT Manuel,V2H,218,45:24:09,24:39:53,FR
1551,1552,2222  - MAMLA Zbigniew TRUCHT TARCHOMIN TEAM,V1H,690,45:24:17,24:40:01,PL
1552,1553,2237  - LE LOUARNE Hervé,V2H,219,45:24:46,24:40:30,FR
1553,1554,1592  - LE LOUARNE Laurent,V1H,691,45:24:47,24:40:31,FR
1554,1555,456  - MENDONCA Sonia MADEIRA TRAIL TEAM,SEF,61,45:25:14,24:40:58,PT
1555,1556,2695  - ADDE-SOUBRA Pascal,V2H,220,45:25:20,24:41:04,FR
1556,1557,2111  - GARCIA Damian Emiliano Francisco,SEH,486,45:25:21,24:41:05,AR
1557,1558,1148  - KAPPES Sébastien,SEH,487,45:25:23,24:41:07,FR
1558,1559,2312  - DURAN PEREZ Rafael SIERRA BERMEJA TRAIL,SEH,488,45:25:28,24:41:12,ES
1559,1560,2086  - TRIDON Jean-Philippe EFSRA,V2H,221,45:25:29,24:41:13,FR
1560,1561,1565  - SOLANS nicolas CHAMEUAX DE BEZIERS TRIATHLON,V1H,692,45:25:40,24:41:24,FR
1561,1562,2561  - DĄBSKI Grzegorz,V1H,693,45:26:34,24:42:18,PL
1562,1563,1569  - CHIESA Maurizio LUPI D’APPENNINO,V2H,222,45:26:35,24:42:19,IT
1563,1564,391  - MORTIMER REES Helen,V1F,61,45:27:44,24:43:28,GB
1564,1565,975  - RYCHCIK-ZYGADŁO Edyta,V2F,16,45:28:12,24:43:56,PL
1565,1565,2637  - POTEMPSKI Pawel,V1H,694,45:28:12,24:43:56,PL
1566,1567,2563  - JANIK Tomasz ORANGE POLSKA,V1H,695,45:28:14,24:43:58,PL
1567,1568,1925  - LAKIO Laura SAMBA TRAIL RUNNING CLUB,V1F,62,45:28:16,24:44:00,FI
1568,1569,2558  - KARHULA Kari ASIKKALAN RAIKAS,V2H,223,45:28:17,24:44:01,FI
1569,1570,2115  - LE ROUX Pierre-Yves,V1H,696,45:28:30,24:44:14,FR
1570,1571,1948  - NOGUCHI Kenji,V2H,224,45:28:34,24:44:18,JP
1571,1572,1069  - DRESCHER Anke,V2F,17,45:30:04,24:45:48,DE
1572,1573,985  - NAKANO Yuki,SEH,489,45:30:44,24:46:28,JP
1573,1573,1127  - SUITA Iku IWAMOTO CITY TRC,SEH,489,45:30:44,24:46:28,JP
1574,1575,2589  - TOYOKAWA Yoshinari,V1H,697,45:30:55,24:46:39,JP
1575,1576,1681  - CHAVES Narciso MADEIRA TRAIL TEAM,V1H,698,45:31:08,24:46:52,PT
1576,1577,2447  - BELKAHIA Emir LAPINS RUNNERS,SEH,491,45:31:13,24:46:57,FR
1577,1578,1336  - AMARGE Carole,SEF,62,45:31:14,24:46:58,FR
1578,1579,2499  - CHABRIAIS Bruno,V2H,225,45:31:55,24:47:39,FR
1579,1580,2461  - LAGARDE Thomas,SEH,492,45:32:31,24:48:15,FR
